epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,348.493,1.56828,1.37437,1.16671,0.59807,0.5153,0.52284,0.24657,1.59505,0.98878,1.10818,0.00332155,0.00332155,0.00332155
2,692.166,1.48446,0.91998,1.10644,0.60983,0.5272,0.55062,0.25131,1.62561,1.08316,1.13801,0.006589,0.006589,0.006589
3,1036.5,1.52216,0.97271,1.13425,0.46589,0.47663,0.43559,0.19583,1.70381,1.48244,1.19894,0.00979045,0.00979045,0.00979045
4,1379.36,1.55025,0.99552,1.1564,0.65033,0.54044,0.5656,0.27261,1.57065,1.10142,1.14854,0.009703,0.009703,0.009703
5,1721.32,1.50666,0.93489,1.13848,0.67008,0.57198,0.60162,0.29206,1.54823,0.96437,1.12856,0.009604,0.009604,0.009604
6,2063.26,1.48379,0.90552,1.13002,0.69812,0.56528,0.61633,0.3135,1.51584,0.92806,1.12182,0.009505,0.009505,0.009505
7,2404.02,1.45627,0.87493,1.11737,0.73312,0.6205,0.67473,0.34771,1.48115,0.85866,1.09633,0.009406,0.009406,0.009406
8,2745.75,1.43283,0.84821,1.10818,0.76354,0.59951,0.67473,0.34635,1.49727,0.88546,1.11667,0.009307,0.009307,0.009307
9,3086.82,1.41569,0.83387,1.09762,0.75786,0.63569,0.69649,0.36436,1.45046,0.83983,1.08193,0.009208,0.009208,0.009208
10,3428.11,1.40937,0.82256,1.09473,0.7764,0.65469,0.72669,0.38536,1.41485,0.79015,1.06757,0.009109,0.009109,0.009109
11,3769.25,1.39518,0.808,1.0886,0.80534,0.67227,0.74062,0.39513,1.38979,0.7595,1.06125,0.00901,0.00901,0.00901
12,4110.44,1.38256,0.78885,1.08378,0.79404,0.68042,0.74577,0.4062,1.38252,0.7628,1.06524,0.008911,0.008911,0.008911
13,4452.09,1.3731,0.78409,1.07936,0.80521,0.68882,0.75363,0.41101,1.36171,0.74312,1.05622,0.008812,0.008812,0.008812
14,4793.22,1.35844,0.77648,1.0731,0.81138,0.68153,0.75433,0.40881,1.36938,0.74656,1.05884,0.008713,0.008713,0.008713
15,5134.43,1.34991,0.76545,1.07278,0.82387,0.69442,0.76864,0.42456,1.34447,0.72524,1.04813,0.008614,0.008614,0.008614
16,5475.5,1.34791,0.76551,1.06718,0.82512,0.70454,0.77352,0.42998,1.33717,0.69931,1.04574,0.008515,0.008515,0.008515
17,5817.06,1.32982,0.74846,1.06433,0.82917,0.70948,0.7763,0.43362,1.32001,0.68927,1.03719,0.008416,0.008416,0.008416
18,6158.33,1.32268,0.74417,1.05911,0.8382,0.71727,0.79208,0.4502,1.31911,0.68021,1.0376,0.008317,0.008317,0.008317
19,6499.43,1.3158,0.73541,1.05664,0.83435,0.71623,0.78803,0.45077,1.30151,0.67119,1.03355,0.008218,0.008218,0.008218
20,6840.99,1.31095,0.72846,1.05655,0.84035,0.71955,0.79783,0.45229,1.29606,0.66386,1.0315,0.008119,0.008119,0.008119
21,7182.39,1.30111,0.71983,1.05535,0.83279,0.7303,0.80084,0.46187,1.28256,0.64894,1.02824,0.00802,0.00802,0.00802
22,7524.05,1.29236,0.71508,1.04706,0.85769,0.72916,0.80902,0.47252,1.26674,0.64173,1.01854,0.007921,0.007921,0.007921
23,7866.04,1.28939,0.71195,1.04909,0.85166,0.74115,0.81539,0.47521,1.26214,0.63738,1.0221,0.007822,0.007822,0.007822
24,8208.23,1.28094,0.70495,1.04725,0.84557,0.74541,0.81364,0.47403,1.25753,0.6343,1.01809,0.007723,0.007723,0.007723
25,8550.08,1.27833,0.70089,1.04464,0.85411,0.75342,0.81793,0.48207,1.24422,0.6239,1.01277,0.007624,0.007624,0.007624
26,8892.87,1.27106,0.69883,1.04131,0.86255,0.75269,0.82422,0.48068,1.24981,0.62127,1.01284,0.007525,0.007525,0.007525
27,9234.71,1.27085,0.69234,1.04164,0.8567,0.75987,0.82349,0.49062,1.23308,0.6104,1.00907,0.007426,0.007426,0.007426
28,9576.54,1.25475,0.68667,1.03759,0.85591,0.75745,0.82314,0.49371,1.2228,0.60558,1.00558,0.007327,0.007327,0.007327
29,9917.56,1.25153,0.68175,1.03369,0.85841,0.76212,0.8288,0.50115,1.20951,0.59824,1.00311,0.007228,0.007228,0.007228
30,10258.7,1.24226,0.67711,1.03294,0.86423,0.76678,0.83088,0.50305,1.20993,0.59783,1.00093,0.007129,0.007129,0.007129
31,10600.4,1.23787,0.67255,1.0285,0.86155,0.76403,0.83438,0.50645,1.2033,0.59103,0.99619,0.00703,0.00703,0.00703
32,10941.8,1.24234,0.67286,1.03255,0.8636,0.76811,0.83449,0.50714,1.19964,0.5859,0.99948,0.006931,0.006931,0.006931
33,11282.7,1.22938,0.66594,1.02494,0.8631,0.77981,0.83905,0.51395,1.19047,0.57908,0.99522,0.006832,0.006832,0.006832
34,11624.1,1.22852,0.66309,1.02353,0.86903,0.77448,0.84084,0.51613,1.18701,0.57506,0.99274,0.006733,0.006733,0.006733
35,11964.8,1.22683,0.65794,1.024,0.86826,0.77587,0.84201,0.51548,1.18428,0.56934,0.9931,0.006634,0.006634,0.006634
36,12306.1,1.22161,0.65684,1.02349,0.8728,0.7804,0.84449,0.52063,1.18052,0.56795,0.99152,0.006535,0.006535,0.006535
37,12647.4,1.20601,0.64574,1.01834,0.87353,0.78161,0.84644,0.5232,1.17286,0.56345,0.98824,0.006436,0.006436,0.006436
38,12988.6,1.20244,0.64619,1.01585,0.86946,0.78353,0.84731,0.52435,1.16709,0.56058,0.9858,0.006337,0.006337,0.006337
39,13329.5,1.19549,0.64115,1.01318,0.87107,0.78395,0.84793,0.52725,1.16242,0.55609,0.9867,0.006238,0.006238,0.006238
40,13670.5,1.19276,0.63459,1.01002,0.87629,0.78317,0.84856,0.52881,1.15631,0.5516,0.98324,0.006139,0.006139,0.006139
41,14011.3,1.18969,0.63322,1.00894,0.87048,0.78772,0.85115,0.53218,1.15456,0.54721,0.9822,0.00604,0.00604,0.00604
42,14352,1.18969,0.63304,1.01061,0.87553,0.78724,0.85194,0.53522,1.14995,0.54648,0.98037,0.005941,0.005941,0.005941
43,14692.3,1.17687,0.62815,1.00403,0.87598,0.79083,0.85502,0.53795,1.14648,0.54473,0.97791,0.005842,0.005842,0.005842
44,15033.3,1.17706,0.62268,1.00831,0.87802,0.79029,0.85449,0.53877,1.14326,0.54171,0.97729,0.005743,0.005743,0.005743
